name,address
Crosspoint Church,"10936 Foley Blvd NWMinneapolis, MN 55448"
Abundant Life Community Church,"1105 117th Ave NEMinneapolis, MN 55434"
Coon Rapids Evangelical Free,"2650 128th Ave NWMinneapolis, MN 55448"
Ascension Catholic School,"1726 Dupont Ave NMinneapolis, MN 55411"
Nativity Lutheran Church Elca,"3312 Silver Lake Rd NEMinneapolis, MN 55418"
Normandale Lutheran Church,"6100 Normandale RdMinneapolis, MN 55436"
Anglican Church of St. Dunstan,"4241 Brookside AveMinneapolis, MN 55416"
Beth El Synagogue,"5224 W 26th StMinneapolis, MN 55416"
St. Joan of Arc Church,"4537 3rd Ave SMinneapolis, MN 55419"
Kenesseth Israel Congregation,"4330 W 28th StMinneapolis, MN 55416"
Mayflower Early Childhood Center,"106 E Diamond Lake RdMinneapolis, MN 55419"
Grace Lutheran Church (ELCA),"1500 6th St NEMinneapolis, MN 55413"
Church Of Epiphany,"1900 111th Ave NWMinneapolis, MN 55433"
Bethlehem Baptist Church,"720 13th Ave SMinneapolis, MN 55415"
Missionary Baptist Church Rdmr,"116 E 32nd StMinneapolis, MN 55408"
Galilee Missionary Baptist Church,"3701 14th Ave SMinneapolis, MN 55407"
University Episcopal Community,"1313 5th St SE Ste 303Minneapolis, MN 55414"
Church-God & Christ New Mercy,"1230 Logan Ave NMinneapolis, MN 55411"
St Helena Catholic School,"3200 E 44th StMinneapolis, MN 55406"
Good Shepherd School,"145 Jersey Ave SMinneapolis, MN 55426"
St Raphael's Church,"7301 Bass Lake RdMinneapolis, MN 55428"
Saint Alphonous Catholic Church,"7031 Halifax Ave NMinneapolis, MN 55429"
Cross Of Glory Lutheran Church,"5929 Brooklyn BlvdMinneapolis, MN 55429"
Oak Park Community Church,"12050 Aberdeen St NEMinneapolis, MN 55449"
Antioch Community Church,"1121 Jackson St NEMinneapolis, MN 55413"
Greater Minneapolis Council,"1001 E Lake StMinneapolis, MN 55407"
Spirit & Truth Worship Center,"3254 Penn Ave NMinneapolis, MN 55412"
Jehovah's Witnesses,"1950 Douglas Dr NMinneapolis, MN 55422"
Lake Harriet Christian Church,"5009 Beard Ave SMinneapolis, MN 55410"
Christ Saving Grace Church,"4800 Douglas Dr NMinneapolis, MN 55429"
Reign Ministries,"5401 W Broadway AveMinneapolis, MN 55428"
