name,address
Kingdom Life Christian Center,"6325 Frankford AvePhiladelphia, PA 19135"
First Baptist Church,"S Broad StPhiladelphia, PA 19102"
New Bethlehem Baptist Church,"Penn TowerPhiladelphia, PA 19104"
New Day Spring Baptist Church,"1621 Bainbridge StPhiladelphia, PA 19146"
Rising Sun Baptist Church,"745 S 12th StPhiladelphia, PA 19147"
New Central Baptist Church,"2139 Lombard StPhiladelphia, PA 19146"
Union Baptist Church,"1910 Fitzwater StPhiladelphia, PA 19146"
First African Baptist Church,"1608 Christian StPhiladelphia, PA 19146"
New Mount Zion Baptist Church,"919 S 13th StPhiladelphia, PA 19147"
Christian Street Baptist Church,"1024 Christian StPhiladelphia, PA 19147"
Greater Deborah Tabernacle Baptist Church,"659 N 12th StPhiladelphia, PA 19123"
St Paul's Baptist Church,"1000 Wallace StPhiladelphia, PA 19123"
Shiloh Baptist Church,"2040 Christian StPhiladelphia, PA 19146"
Olive Grove Community Development Corp,"821 N 13th StPhiladelphia, PA 19123"
The New Hope Baptist Church,"1609 Federal StPhiladelphia, PA 19146"
King David Baptist Church,"1133 S 20th StPhiladelphia, PA 19146"
Second Pilgrim Baptist Church,"854 N 15th StPhiladelphia, PA 19130"
Solid Rock Baptist Church,"1836 Federal StPhiladelphia, PA 19146"
New Welcome Baptist Church,"833 N 20th StPhiladelphia, PA 19130"
Mt Hebron Baptist Church,"1419 Wharton StPhiladelphia, PA 19146"
Twentieth Street Baptist Church,"1215 S 20th StPhiladelphia, PA 19146"
Friendship Baptist Church,"1728 Wharton StPhiladelphia, PA 19146"
Nineteenth Street Baptist Church,"1253 S 19th StPhiladelphia, PA 19146"
St Paul Chapel Baptist Church,"1217 S 21st StPhiladelphia, PA 19146"
New Macedonia Baptist Church Inc,"875 Corinthian AvePhiladelphia, PA 19130"
Mount Pleasant Baptist Church Study,"56 Vine StPhiladelphia, PA 19106"
Mount Sinai Baptist Church,"1228 S 21st StPhiladelphia, PA 19146"
Smith Chapel Baptist Church,"1828 Ridge AvePhiladelphia, PA 19130"
Zion Baptist Church,"1419 S Broad StPhiladelphia, PA 19147"
Gospel Temple Baptist Church,"1327 S 19th StPhiladelphia, PA 19146"
Word Of Life Church Ministry,"1208 S 23rd StPhiladelphia, PA 19146"
Saint Marks Baptist Church,"1238 S 23rd StPhiladelphia, PA 19146"
Nazareth Baptist Church,"1009 S 3rd StPhiladelphia, PA 19147"
Andrews Edward,"1929 Dickinson StPhiladelphia, PA 19146"
New Gethsemene Baptist Church of South Philadelphia Incorporated,"2301 Wharton StPhiladelphia, PA 19146"
Bread of Life Ministry Baptist Church,"3100 Spring Garden StPhiladelphia, PA 19104"
New Spring Baptist Church,"1937 Ridge AvePhiladelphia, PA 19121"
Greater Harvest Baptist Church,"1409 W Master StPhiladelphia, PA 19121"
National Temple Baptist Church,"1628 W Master StPhiladelphia, PA 19121"
Mt Moriah Temple Baptist Church,"410 Wharton StPhiladelphia, PA 19147"
Tenth Memorial Baptist Church,"1328 N 19th StPhiladelphia, PA 19121"
Holy Nation Baptist Church,"1415 N Broad St Ste 221bPhiladelphia, PA 19122"
Progressive Worship,"1146 S 26th StPhiladelphia, PA 19146"
Greater Mt Pleasant Baptist Church,"1219 S 26th StPhiladelphia, PA 19146"
St Phillip Baptist Church,"1228 N 6th StPhiladelphia, PA 19122"
New Bethany Baptist Church,"1415 S 23rd StPhiladelphia, PA 19146"
Tasker Street Baptists Church,"2010 Tasker StPhiladelphia, PA 19145"
Zion Hill Memorial Baptist Church,"2702 Ellsworth StPhiladelphia, PA 19146"
Unity Baptist Church,"1522 S 22nd StPhiladelphia, PA 19146"
Sisters of The Immaculate Heart,"1731 S 11th StPhiladelphia, PA 19148"
Second Shiloh Baptist Church,"1433 N 21st StPhiladelphia, PA 19121"
New Birth Baptist Church,"1710 S 20th StPhiladelphia, PA 19145"
Metropolitan Baptist Church,"3500 Baring StPhiladelphia, PA 19104"
Bright Hope Baptist Church,"1601 N 12th StPhiladelphia, PA 19122"
Miller Memorial Baptist Church,"1518 N 22nd StPhiladelphia, PA 19121"
Greater Love Baptist Church,"1633 N Willington StPhiladelphia, PA 19121"
Jehovah-Jireh Baptist Church,"2501 W Master STPhiladelphia, PA 19121"
