text,address,place,lon,lat
Travelers Rest Baptist Church,"1533 Cleveland Ave Columbus, OH 43211",Columbus,-82.9789268,39.996779600000004
Lockbourne Rd Bapt Church,"1673 Lockbourne Rd Columbus, OH 43207",Columbus,-82.96502670000001,39.9312593
Greater 12th Baptist Church,"1561 Cleophus Kee Blvd Columbus, OH 43211",Columbus,-82.97420249999999,39.9978695
Liberty Hill Bapt Church,"1428 Fairwood Ave Columbus, OH 43206",Columbus,-82.9541466,39.9377919
University Baptist Church,"50 W Lane Ave Columbus, OH 43201",Columbus,-83.0103288,40.0064908
Maynard Av Bapt Church,"2210 Lexington Ave Columbus, OH 43211",Columbus,-82.980091,40.010980000000004
Liberty Bapt Church,"744 Glendower Ave Columbus, OH 43207",Columbus,-82.97479039999999,39.9131408
Tabernacle Baptist Church,"2188 Woodward Ave Columbus, OH 43219",Columbus,-82.9471729,39.992695
New Creation Baptist Church,"855 N Nelson Rd Columbus, OH 43219",Columbus,-82.9416768,39.9863142
Springhill Baptist Church,"2000 E 17th Ave Columbus, OH 43219",Columbus,-82.95352969999999,39.9997196
New Palistine Baptist Church,"1000 E Hudson St Columbus, OH 43211",Columbus,-82.98369269999999,40.0146418
Saint James Baptist Church,"1311 E Hudson St Columbus, OH 43211",Columbus,-82.9749762,40.01370379999999
Corinthian Baptist Church,"3161 E 5th Ave Columbus, OH 43219",Columbus,-82.9190667,39.9845657
Mt Nebo Baptist Church,"2100 Aberdeen Ave Columbus, OH 43211",Columbus,-82.95444069999999,40.0207026
New Salem Baptist,"2830 Cleveland Ave Columbus, OH 43224",Columbus,-82.96403099999999,40.025438
Crossroads United Baptist Church,"3228 Lockbourne Rd Columbus, OH 43207",Columbus,-82.96725540000001,39.8934028
Barnett Road Baptist Church,"1500 Barnett Rd Columbus, OH 43227",Columbus,-82.9063663,39.9413046
Flintridge Missionary Baptist Church,"3330 Scottwood Rd Columbus, OH 43227",Columbus,-82.90609599999999,39.94060899999999
Mountview Bapt Church,"2140 Fishinger Rd Columbus, OH 43221",Columbus,-83.0729647,40.0299293
Westphal Baptist Church,"772 Westphal Ave Columbus, OH 43213",Columbus,-82.8818276,39.95881180000001
Village Baptist Church,"4880 Langley Ave Columbus, OH 43213",Columbus,-82.868325,39.960702
Ohio Baptist Temple,"3370 Daglow Rd Columbus, OH 43232",Columbus,-82.88525899999999,39.904639
New Life Baptist Church,"2720 Abington Rd Columbus, OH 43231",Columbus,-82.9464797,40.0644111
Walnut Heights Baptist Church,"1660 Lattimer Dr Columbus, OH 43227",Columbus,-82.8666282,39.9416188
Ebenezer Baptist Church,"4500 Refugee Rd Columbus, OH 43232",Columbus,-82.87542599999999,39.916413
Northeast Bapt Church,"4444 Westerville Rd Columbus, OH 43231",Columbus,-82.9338957,40.0623084
North Baptist Church,"76 Charleston Ave Columbus, OH 43214",Columbus,-83.01670949999999,40.0727552
Covenant Baptist Church,"5100 Dierker Rd Columbus, OH 43220",Columbus,-83.074722,40.062222
Guide Church - South Campus,"75 Hilliard Rome Rd Columbus, OH 43228",Columbus,-83.14785529999999,39.9538064
Salem Baptist Church,"5862 Sinclair Rd Columbus, OH 43229",Columbus,-82.99672919999999,40.0847769
Sharon Woods Baptist Church S B C,"1729 Durbridge Rd Columbus, OH 43229",Columbus,-82.970804,40.088952
Central Presbyterian Church,"132 S 3rd St Columbus, OH 43215",Columbus,-82.9968971,39.9597115
Broad Street Presbyterian Church,"760 E Broad St Columbus, OH 43205",Columbus,-82.97946069999999,39.964943
Bethany Presbyterian Church,"206 N Garfield Ave Columbus, OH 43203",Columbus,-82.97976659999999,39.9690539
St John's Episcopal Church,"1003 W Town St Columbus, OH 43222",Columbus,-83.0265628,39.9554216
Grace Central Presbyterian Church,"49 W 5th Ave Columbus, OH 43201",Columbus,-83.0069017,39.9870078
Indianola Presbyterian Church,"1970 Waldeck Ave Columbus, OH 43201",Columbus,-83.00512479999999,40.00315310000001
Saint Alban's Episcopal Church,"333 S Drexel Ave Columbus, OH 43209",Columbus,-82.93828599999999,39.962247
New Jerusalem M B C,"2121 Joyce Ave Columbus, OH 43219",Columbus,-82.9625057,40.0106632
Glen Echo United Presbyterian Church,"220 Cliffside Dr Columbus, OH 43202",Columbus,-83.0059643,40.0187616
Eastminster Presbyterian Church,"3100 E Broad St Columbus, OH 43209",Columbus,-82.91851419999999,39.9720299
